#Table: J/A+A/425/367/reflex50.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------------------------------------------------------
               |          |n|                    |      |   |       |      |       |     |       |     |   |
               |          |_|                    |      |   |       |      |       |     |       |     |   |
               |          |N|                    |      |   |       |      |       |     |       |     |   |
               |          |a|                    |      |   |       |      |       |     |       |     |   |
               |          |m| R  R        D  D  D|      |  N|       |      |       |     |       |     | No|
   RXC         |Name      |e|Ah Am  RAs  Ed Em Es|     z|gal|   Flux|e_Flux| ObsLum| Aper| LumCor|   NH|tes|r_
---------------|----------|-|--------------------|------|---|-------|------|-------|-----|-------|-----|---|--------------------------------
RXCJ0110.0-4555|A2877     | |01 10 00.4 -45 55 22|0.0238| 58| 14.005|   8.0|  0.342| 20.0|  0.372|  2.1|L  |12,130,131,146
RXCJ0115.2+0019|A0168     | |01 15 12.0 +00 19 48|0.0450| 76| 10.429|   9.3|  0.914| 20.0|  0.942|  3.3|L  |S,2
RXCJ0117.8-5455|          | |01 17 50.5 -54 55 26|0.2510|  6|  3.054|  33.4|  8.131|  6.5|  8.838|  2.7|X *|E
RXCJ0118.1-2658|A2895     | |01 18 11.1 -26 58 23|0.2275|  4|  3.822|  14.0|  8.376|  7.5|  9.006|  1.6|   |S,96
RXCJ0120.9-1351|CAN 010   |b|01 20 58.9 -13 51 31|0.0519|  7| 12.430|   7.9|  1.448| 15.5|  1.557|  1.9|B  |S,120
RXCJ0125.5+0145|NGC533    | |01 25 30.2 +01 45 44|0.0174| 19|  4.712|  15.9|  0.062| 15.0|  0.069|  3.1|   |E,120
RXCJ0125.6-0124|A0194     | |01 25 40.8 -01 24 26|0.0180|146|  9.713|  14.1|  0.136| 24.0|  0.143|  4.1|L  |158
RXCJ0131.8-1336|A0209     | |01 31 53.0 -13 36 34|0.2060|  2|  5.473|  10.4|  9.861|  9.5| 10.380|  1.6|   |1
RXCJ0132.6-0804|          | |01 32 40.9 -08 04 20|0.1489|  3|  3.772|  11.9|  3.606| 10.0|  3.756|  3.4|X *|E
RXCJ0137.2-0912|          | |01 37 15.4 -09 12 10|0.0409|  5|  7.090|   8.4|  0.512|  9.5|  0.595|  2.8|   |S,120
RXCJ0145.0-5300|A2941     | |01 45 02.3 -53 00 50|0.1168|  4|  6.010|  16.0|  3.520|  7.5|  3.955|  2.3|   |E
RXCJ0145.2-6033|RBS 0238  |c|01 45 16.7 -60 33 54|0.1805| 11|  4.802|  13.4|  6.681|  4.5|  8.248|  3.4|   |E
RXCJ0152.7+0100|A0267     | |01 52 42.3 +01 00 45|0.2300|  1|  3.084|  14.6|  6.953|  5.0|  7.992|  2.8|DB |55,147,159
RXCJ0152.9-1345|NGC0720   | |01 52 59.0 -13 45 12|0.0050|  3|  2.284|  16.4|  0.002| 10.5|  0.003|  1.7|   |12,160,161
RXCJ0157.4-0550|A0281     | |01 57 24.3 -05 50 24|0.1289|  4|  3.277|  14.7|  2.350| 10.0|  2.448|  2.2|D  |E,1
RXCJ0201.7-0212|A0291     | |02 01 44.2 -02 12 03|0.1960|  2|  4.236|  11.5|  6.918|  5.0|  8.139|  2.6|   |S,53,54
RXCJ0202.3-0107|A0295     | |02 02 19.9 -01 07 13|0.0427| 47|  3.586|  13.7|  0.283| 14.0|  0.295|  2.6|   |2,148,162
RXCJ0206.4-1453|A0305     | |02 06 30.0 -14 53 38|0.1529|  2|  2.993|  17.9|  3.022|  6.0|  3.358|  2.5|   |S
RXCJ0211.4-4017|A2984     | |02 11 25.5 -40 17 12|0.1008|  6|  3.222|  11.5|  1.418|  8.0|  1.541|  1.4|   |33
RXCJ0216.7-4749|S0239     | |02 16 42.3 -47 49 24|0.0640|  1|  3.574|  16.9|  0.637| 11.5|  0.671|  3.0|   |5,9,29
RXCJ0217.2-5244|          | |02 17 12.6 -52 44 49|0.3432|  2|  3.641|  15.4| 17.655| 11.5| 17.833|  3.2|   |E
RXCJ0220.9-3829|          | |02 20 56.6 -38 29 05|0.2280|  5|  3.399|  11.8|  7.526|  7.0|  8.092|  1.9|   |E
RXCJ0225.1-2928|          | |02 25 10.5 -29 28 26|0.0604| 17|  4.736|  23.4|  0.753| 12.0|  0.801|  1.7|   |S,96
RXCJ0225.9-4154|A3016     | |02 25 54.6 -41 54 35|0.2195|  1|  5.185|  11.2| 10.494| 11.0| 10.819|  2.1|   |S
RXCJ0229.3-3332|          | |02 29 22.3 -33 32 16|0.0792| 17|  3.837|  12.9|  1.054| 12.5|  1.087|  2.1|P  |S,33
RXCJ0230.7-3305|A3027     | |02 30 43.5 -33 05 55|0.0760| 22|  3.207|  15.7|  0.810| 15.0|  0.818|  2.0|PB |33
