#Table: J/A+A/425/367/reflex70.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------------------------------------------------------
               |          |n|                    |      |   |       |      |       |     |       |     |   |
               |          |_|                    |      |   |       |      |       |     |       |     |   |
               |          |N|                    |      |   |       |      |       |     |       |     |   |
               |          |a|                    |      |   |       |      |       |     |       |     |   |
               |          |m| R  R        D  D  D|      |  N|       |      |       |     |       |     | No|
   RXC         |Name      |e|Ah Am  RAs  Ed Em Es|     z|gal|   Flux|e_Flux| ObsLum| Aper| LumCor|   NH|tes|r_
---------------|----------|-|--------------------|------|---|-------|------|-------|-----|-------|-----|---|--------------------------------
RXCJ0003.1-0605|A2697     | |00 03 11.8 -06 05 10|0.2320|  0|  4.497|  12.4|  6.395|  7.5|  6.876|  3.1|   |139
RXCJ0003.2-3555|A2717     | |00 03 12.1 -35 55 38|0.0490| 40|  7.537|  17.8|  0.421| 10.0|  0.478|  1.1|   |2
RXCJ0003.8+0203|A2700     | |00 03 50.6 +02 03 48|0.0924|  9|  4.155|  18.8|  0.855|  8.5|  0.929|  3.0|   |S,10
RXCJ0006.0-3443|A2721     | |00 06 03.0 -34 43 27|0.1147| 75|  5.832|  13.6|  1.875| 10.0|  1.995|  1.2|   |1
RXCJ0011.3-2851|A2734     | |00 11 20.7 -28 51 18|0.0620| 83| 12.014|   9.0|  1.089| 12.5|  1.197|  1.8|   |2
RXCJ0013.6-1930|A0013     | |00 13 38.3 -19 30 08|0.0940| 37|  6.071|  11.3|  1.285| 11.5|  1.353|  2.0|   |S,2,140,141
RXCJ0014.3-6604|A2746     | |00 14 18.4 -66 04 39|0.1599|  5|  4.485|  13.8|  2.907|  7.5|  3.160|  2.8|X  |E
RXCJ0014.3-3023|A2744     | |00 14 18.8 -30 23 00|0.3066| 65|  4.964|  18.7| 12.787| 12.0| 12.916|  1.6|   |142,143
RXCJ0015.4-2350|          | |00 15 24.0 -23 50 42|0.0645|  4|  3.426|  18.3|  0.336| 11.5|  0.354|  2.5|X  |33
RXCJ0017.5-3509|A2755     | |00 17 33.7 -35 09 54|0.0968| 23|  3.211|  20.0|  0.729| 11.5|  0.752|  1.3|   |E,3,33,140,141
RXCJ0020.7-2542|A0022     | |00 20 42.8 -25 42 37|0.1410|  3|  5.910|  12.1|  2.909|  7.5|  3.232|  2.3|   |1
RXCJ0025.5-3302|S0041     | |00 25 32.4 -33 02 50|0.0491|  3|  8.818|   9.7|  0.494| 13.0|  0.537|  1.7|   |26,144
